Stations,min2013,max2013,avg2013,min2014,max2014,avg2014,min2015,max2015,avg2015,min2016,max2016,avg2016,min2017,max2017,avg2017
CHISAPANI(KARNALI),18.8,29.2,24,19.3,29.4,24.3,19.5,29.6,24.6,,,,,,
DADELDHURA,11.4,22.3,16.8,11.5,22,16.7,11.7,21.4,16.5,12.4,22.6,17.5,12.1,22,17
DAILEKH,14.3,25.4,19.9,13.9,25.5,19.7,14,24.5,19.3,14.9,25.3,20.1,,,
DAINSILI,,,,,,,,,,13.7,25.3,19.5,14.2,21,17.6
DAMAK,,,,,,,16.6,31.5,24.1,18.8,31.6,25.2,,,
DAMAN,,,,,,,,,,,,,,,
DAMAULI,17.9,30.3,24.1,,,,,,,17.6,30.6,24.1,,,
DANDASWARA,11.7,24.3,18,10.9,24.7,17.8,13.1,23.8,18.5,15.2,24.3,19.8,15,24.4,19.7
DARCHULA,12.6,26.5,19.6,13.6,28.2,20.9,13.8,27,20.4,14.9,27.5,21.2,14.8,27,20.9
DARCHULA NEW,14.7,28.1,21.4,,,,14.7,28.4,21.5,15.2,29.5,22.3,15.4,29.1,22.2
DHADING,,,,,,,,,,,,,,,
DHANGADHI(ATTARIYA),18.1,30.2,24.1,17.4,30.4,23.9,17.9,30,24,18.3,31.2,24.7,18.4,31.2,24.8
DHANKUTA,15.2,25.7,20.4,15.3,25.5,20.4,15.4,25.1,20.3,15.8,25.4,20.6,15.6,25.4,20.5
DHARAN BAZAR,20.3,29.9,25.1,20.2,29.7,24.9,20.4,29.8,25.1,20.8,30.1,25.5,20.6,30.5,25.6
DHULIKHEL,,,,12.1,21.3,16.7,11.9,18.2,15.1,12.5,18.7,15.6,,,
DHUNCHE,,,,,,,,,,,,,,,
DHUNIBESI,15.8,26.9,21.3,16,27,21.5,16.6,27.6,22.1,16.5,27.8,22.1,16,27.8,21.9
DIKTEL,,,,,,,14,,,14.4,23.2,18.8,14.2,23,18.6
DIPAL GAUN,5.3,22.3,13.8,,,,4.5,22.7,13.6,5.6,23.8,14.7,5.5,22.4,14
DIPAYAL (DOTI),16,30.8,23.4,15.9,31.2,23.5,15.7,30.7,23.2,15.6,31.1,23.4,15.5,30.8,23.2
DUMKAULI,19.2,29.9,24.5,18.9,30.5,24.7,19.1,,,19.2,34,26.6,19.3,33.6,26.4
DUNAI,8.8,21,14.9,8.5,19.5,14,,,,,,,11.1,20.8,15.9
GAIDA (KANKAI) ,18.4,30.6,24.5,18.2,30.6,24.4,18.5,30.6,24.6,15.6,31.4,23.5,,,
GAM SHREE NAGAR,11,23.8,17.4,,,,,,,10.9,23.8,17.4,10.9,23.7,17.3
GAUR,17.1,22.6,19.8,,,,,,,,,,,,
GHALE KHARKA,,,,12.6,21.2,16.9,12.8,22.4,17.6,13.2,21.9,17.5,,,
GHORAI (DANG),16.2,28.7,22.5,16.2,29.1,22.6,16.4,29,22.7,16.8,29.4,23.1,16.9,29.2,23.1
GODAVARI,9.3,23.3,16.3,9.6,23.7,16.6,11.4,23.5,17.4,11.6,23.8,17.7,,24.1,
GODAVARI(WEST),20.2,30.9,25.5,,30.5,,19.8,30.2,25,19.7,31.4,25.5,,,
GOKULESHWAR,15.1,28.1,21.6,,,,14.6,28.1,21.4,14.7,28.8,21.7,14.7,28.8,21.7
GORKHA,17,28.1,22.6,,,,17,28.2,22.6,17.5,28.8,23.1,17.1,28.1,22.6
GULARIYA,,,,,,,18.7,30.2,24.4,18.6,31,24.8,,,
GURJA KHANI,,,,,,,,,,,,,,,
HARDINATH,,,,19.2,29.5,24.3,19.8,30.3,25,19.8,30.4,25.1,19.8,30.4,25.1
HETAUNDA N.F.I.,17.2,29.4,23.3,17.2,29.6,23.4,17.4,29.3,23.3,17.7,29.8,23.8,17.7,29.6,23.6
HUMDE,,,,,,,,,,2.1,14.6,8.3,,14.4,
ILAM TEA ESTATE,,,,13.3,24.1,18.7,13.9,23.7,18.8,15,24,19.5,,,
JAJARKOT,,26.5,,,26.7,,,26.3,,,27.6,,,,
JALESORE,19.2,30.8,25,,,,18.8,29.9,24.4,,,,,,
JANAKPUR AIRPORT,19.7,30.5,25.1,19.8,30.6,25.2,20.1,31.1,25.6,20,31.4,25.7,20.1,31.2,25.6
JHINGRANA,12.9,24.5,18.7,,,,,,,13.9,27.9,20.9,13.4,27,20.2
JIRI,8.9,21,14.9,8.6,21.2,14.9,8.9,20.9,14.9,9.1,21.6,15.3,8.8,21.4,15.1
JOMSOM,6.2,17.8,12,5.8,17.8,11.8,5.9,17.6,11.7,6.1,18.7,12.4,6.1,18.4,12.3
JUMLA,5.5,21.6,13.6,4.9,21.9,13.4,5.3,21.5,13.4,6.4,22.2,14.3,6.4,21.6,14
JUMLA A/P ,5,21.2,13.1,4.4,21.8,13.1,4.3,21.4,12.9,4.3,22.5,13.4,3.6,21.8,12.7
JYAMIREBARI,,,,11.8,22.9,17.4,12.5,23.9,18.2,13,24,18.5,12.6,23,17.8
KABRE,12,22.5,17.2,12,22.9,17.5,12,22.4,17.2,,22.9,,12.6,23.1,17.9
KAIGAUN,,,,,,,,,,,,,,,
KAKANI,11.3,20.3,15.8,11.6,20.5,16,11.6,20.2,15.9,12,21,16.5,,,
KANYAM TEA ESTATE,10.1,20.7,15.4,10.1,21.2,15.7,12.5,20.9,16.7,,,,,,
KARMAIYA,20.1,31,25.5,20.2,30.6,25.4,20.3,30.9,25.6,,,,20.4,31.7,26
KATHMANDU AIRPORT,12.9,26.4,19.7,13,25.9,19.5,13,26.1,19.6,13.3,26.3,19.8,13.2,26.2,19.7
KECHANA,19.2,30.7,24.9,19,30.5,24.8,19.4,30.8,25.1,,,,19.5,30.8,25.1
KHADBARI,15.8,24.7,20.3,16.3,25,20.6,16.5,,,16.9,24.8,20.9,16.5,24.9,20.7
KHAIRINI TAR,17.1,29.4,23.3,17.3,29.9,23.6,17.3,29.8,23.6,17.4,30.4,23.9,17.5,30.2,23.8
KHAJURA (NEPALGANJ),18.5,30.4,24.5,18.3,30.7,24.5,18.7,30.9,24.8,15.3,31.7,23.5,,,
KHANCHIKOT,12.9,20.9,16.9,12.3,21.2,16.7,11.9,21.1,16.5,13.1,22.1,17.6,13.2,22,17.6
KHOKANA,11.2,24.8,18,10.9,25.1,18,11.1,25.4,18.3,11.5,26.5,19,11.5,25.9,18.7
KHUDI BAZAR,15.7,NA,NA,,,,,,,16,28.4,22.2,,,
KHUMALTAR,12.6,24.5,18.6,12.6,24.9,18.7,12.5,24.7,18.6,12.8,25,18.9,13,25.4,19.2
KUSHMA,15,28.6,21.8,14.9,28.9,21.9,15.1,28.4,21.7,13.7,29.4,21.6,,,
LAHAN,19.7,30.2,25,,,,19.9,30.5,25.2,20.4,31,25.7,19.9,31.1,25.5
LETE,6.4,17,11.7,,,,6.3,17.3,11.8,7.2,17.7,12.4,7.2,17.6,12.4
LIBANG GAUN,,,,11.5,25.6,18.5,9.8,25.5,17.7,13.2,26.7,19.9,13.5,26.6,20
LUMBINI,,,,18.6,30.2,24.4,18.8,31.1,24.9,18.8,31.6,25.2,18.7,31.8,25.2
LUMBINI MANDIR,18.8,30.3,24.6,18.6,30.2,24.4,18.8,31.1,24.9,18.8,31.6,25.2,,,
LUMLE,12.4,20.4,16.4,12.2,20.4,16.3,12.2,20.3,16.2,12.6,,,12.4,20.8,16.6
MAHENDRA NAGAR,18,30,24,17.7,30,23.9,18.3,30.1,24.2,18.3,31,24.6,18.3,30.8,24.6
MALEPATAN (POKHARA),14.6,27.2,20.9,15.3,27.2,21.2,15.8,27.2,21.5,16.3,28.1,22.2,15.1,27.9,21.5
MANDAN,,,,,,,,,,,,,,,
MANGALSEN,,,,,,,13.6,25.6,19.6,14.1,26.2,20.2,13.9,25.7,19.8
MANMA,,,,,,,,,,,,,9.7,23.5,16.6
MANTHALI,18.1,31.5,24.8,17,31.3,24.1,16.7,31.1,23.9,,31.5,,17.3,31.2,24.3
MANUSMARA,19,30.4,24.7,18.6,30.4,24.5,19.6,30.4,25,19.4,30.6,25,19.2,30.7,25
MEHALKUNA,,29.9,,,30.4,,16.6,30.2,23.4,,31,,,,
MUSIKOT(RUKUMKOT),,,,12.1,25.1,18.6,12.2,25.1,18.6,13.7,25.7,19.7,13.8,25.3,19.5
NAGARKOT,10.4,19.3,14.8,10.5,19.7,15.1,10.3,19.5,14.9,10.7,20.1,15.4,10.7,20,15.4
NAGMA,,,,,,,8.1,22.3,15.2,9.1,23,16,9,22.7,15.9
NEPALGUNJ AIRPORT,18.3,30.7,24.5,18,31.1,24.6,18.5,30.7,24.6,18.6,31.7,25.1,,,
NEPALGUNJ(REG.OFF.),19.5,29.6,24.6,19.4,29.6,24.5,19.8,30.2,25,20,31.4,25.7,,,
NUM,,,,,,,,,,,,,,,
NUWAKOT,16.1,28.3,22.2,16.5,27.3,21.9,,,,17,27.9,22.4,16.6,27.9,22.3
OKHALDHUNGA,11.5,22.6,17,12.3,22.4,17.4,12.9,22.4,17.6,13.6,22.8,18.2,13.1,22.8,18
OLI GAUN (PATKANI),,,,,,,,,,11.7,22.5,17.1,14.2,28.1,21.1
PAKHRIBAS,12.4,21.2,16.8,12.5,21.4,17,,,,13.1,21.7,17.4,12.9,21.5,17.2
PANCHASE,,,,,,,,,,8.4,18.3,13.3,,,
PANCHKHAL,,,,,,,,,,15.1,29.5,22.3,,,
PANIPOKHARI(KATHMANDU),13.6,27.7,20.6,13.7,25.9,19.8,14.7,28.7,21.7,13.7,29.8,21.7,13.6,29.2,21.4
PANSAYAKHOLA,,,,,,,,,,12.6,21,16.8,,,
PARASI,17.7,31.4,24.6,18.8,31,24.9,19,31.1,25,16.9,31.7,24.3,18.7,31.4,25.1
PARWANIPUR,19.4,30.3,24.8,19.2,29.9,24.6,19.2,30.4,24.8,19.5,30.7,25.1,19.2,30.5,24.9
PATAN (WEST),13.2,25.5,19.4,13.1,25.4,19.3,12.7,25.4,19,13.8,26.5,20.2,13.8,26.4,20.1
PATAN NEW,13.4,24.2,18.8,,,,13.4,24.3,18.9,14,25.2,19.6,13.9,25,19.4
PHATEPUR,17.6,31.3,24.4,19.3,30.7,25,19.9,31,25.4,,,,19.8,32.1,26
PHIDIM (PANCHTHER),15.8,27.3,21.5,15.7,27,21.3,,,,,27.1,,,27,
POKHARA AIRPORT,16.1,27.1,21.6,15.9,27.5,21.7,16.4,27.3,21.9,16.7,28,22.3,16.4,27.9,22.1
POKHARA REG. OFF.,,,,,,,,,,,,,,,
PUSMA CAMP,,,,14.1,25.4,19.7,15,25,20,15.6,25.8,20.7,,,
RAJBIRAJ,19.6,29.9,24.7,19.9,,,20.7,30.3,25.5,21,31,26,20.8,30,25.4
RAMPUR,,30.6,,17.9,30.7,24.3,18.1,30.4,24.3,,30.9,,17.8,31,24.4
RANI JARUWA NURSERY,20.2,32.9,26.5,20.4,32.5,26.5,,,,19,32,25.5,,,
RARA,,,,,,,3.8,15.3,9.5,4.3,16.4,10.4,4.1,,
SALLERI,2.6,24.1,13.4,,,,,20.1,,6.3,21.8,14,,,
SALYAN BAZAR,14.6,,,14.5,26.8,20.6,14.2,25.9,20.1,14.4,26,20.2,14.6,25.9,20.3
SANDHIKHARKA,,,,,,,13.7,,,14.2,27.3,20.7,14.3,27.6,20.9
SARMATHANG,,,,6.9,16.5,11.7,,,,7.8,16.7,12.2,7.8,16.4,12.1
SEMARI,15.5,30.9,23.2,,31.7,,17.9,31,24.5,18.5,32.4,25.4,18.8,32.1,25.5
SIKTA,16.5,31,23.7,17.2,31,24.1,17.8,31,24.4,17.7,31.9,24.8,,,
SILGADHI DOTI,,,,12.9,28.1,20.5,13.5,26.5,20,14.6,26.9,20.7,14,26.5,20.2
SIMARA AIRPORT,17.7,31,24.3,17.6,30.6,24.1,18.5,31.2,24.8,18.8,31.2,25,18.3,30.9,24.6
SIMIKOT,,,,,,,,,,6.5,16.7,11.6,6.3,16.3,11.3
SINDHULI MADHI,17.3,29.3,23.3,,,,,,,16.3,29.9,23.1,,,
SIRAHA,17.7,31.2,24.4,16.7,31.2,24,15.7,31.8,23.8,,,,13.8,32.1,23
SURKHET (BIRENDRA NAGAR),15.7,29.8,22.7,15.4,29.3,22.4,15.5,29.2,22.3,15.5,29.9,22.7,15.5,29.5,22.5
SYANGJA,15.5,27.8,21.7,15.5,,,,,,15.6,28.2,21.9,15.6,28.2,21.9
TAMGHAS,,22.9,,12.2,23.3,17.8,12.2,,,13,24.2,18.6,12.4,23.9,18.2
TANSEN,15.4,26.2,20.8,15.5,26.4,20.9,14.8,26.5,20.6,14,26.7,20.3,12.8,26.3,19.6
TAPLEJUNG,12.1,22.1,17.1,12.4,22.5,17.4,12.5,22.3,17.4,13,22.6,17.8,12.7,22.9,17.8
TARAHARA,17.8,30.4,24.1,18.1,30.2,24.2,18.7,30.4,24.5,18.9,30.7,24.8,,,
TAULIHAWA,18.6,30,24.3,,30.1,,18.8,,,19.1,31.2,25.1,19.2,31.1,25.1
TERHATHUM,11.8,24.6,18.2,11.8,24.9,18.3,13.4,24,18.7,,24.4,,,,
THAKMARPHA,5.5,19.5,12.5,4.8,19.2,12,5.3,19,12.1,4.4,18.8,11.6,3.9,18.1,11
TIKAPUR,17.9,30.7,24.3,18.4,30.6,24.5,18.6,31.1,24.8,17.9,32,24.9,17.4,31.8,24.6
TIMURE,11.8,22.8,17.3,11,22.9,17,,,,,,,,,
TULSIPUR,,,,,,,17,27.5,22.3,17.4,28,22.7,,,
UDAYAPUR GADHI,,,,,,,,,,,,,18.9,,
